id,name,license_id,address_number,address_street_name,ssn,annual_income
38882,Ricky Diangelo,640491,88,Rebel Run Way,149440290,50100
43712,Oren Spillane,237122,3246,Brettell St,261830190,50100
54128,Keren Mone,296008,2914,Leeds Barnsdale Circle,979733524,50100
70361,Clare Fornier,916767,3254,Blue Boar Way,359527504,50100
73030,Mitchell Ambrosone,943871,3869,Cunnison St,437746749,50100
78800,Gerry Artiles,332317,406,Dalesford Circle,673419551,50100
81266,Quentin Prout,776311,3856,Pettibone Ave,722241716,50100
84403,Nicol Delcarmen,114723,1358,Jonspin Rd,629388098,50100
90887,Gina Urreta,702965,3971,N Moetz Blvd,864787283,50100
21722,Quincy Husch,460099,153,Willow Well Rd,677270175,50200
35847,Rebbecca Fauber,292345,154,Highfield St,836211102,50200
40093,Alix Peha,898561,1124,Heyshoot Rd,688352019,50200
47149,Gertrud Goertz,421403,3052,Grassholme Blvd,661817658,50200
50715,Toccara Fasciano,832413,3646,Karen Way,708228163,50200
71111,Winter Sobczak,706846,3368,Greeba St,824875912,50200
88157,Devona Seminario,814711,2732,Dove Dale Rd,374677529,50200
21474,Kyong Kaluzny,690712,2385,Wembley Ave,716044851,50300
35261,Florance Alder,866977,699,West Schulte Blvd,808083004,50300
40474,Greg Berney,171508,2449,Hookwood Blvd,800659139,50300
51517,Anibal Oechsle,515892,3399,Lynn Shore Ave,897735044,50300
53765,Barbra Linz,318128,1152,Cottongrass Blvd,277047607,50300
55060,Nathanial Rasco,887262,1936,Notus Way,515039565,50300
68598,Cory Pfaff,530907,1552,Willow Terrace Ave,732386024,50300
71809,Rolande Rizzi,118747,1130,Connelley St,789213380,50300
79847,Corey Kanzler,169208,3776,Syracuse Way,571400425,50300
81065,Buck Posis,877317,34,Hall Meadow Ave,304795906,50300
86262,Everette Fray,761218,943,Killick Blvd,168480221,50300
87701,Horacio Liskiewicz,932718,3316,Leabourne Dr,659509444,50300
95421,Lenore Semas,136993,2502,Blackheaath Way,672272118,50300
97186,Terina Piel,838459,2734,S Bragg St,829355458,50300
45741,Kathi Gottardo,828171,587,Kidwell Field Rd,446845014,50400
47308,Terrell Lickert,915060,28,East Oak St,817256942,50400
47484,Emmett Brunton,188814,416,Kipperkopper Way,157258315,50400
55925,Jamie Scaglione,671742,1182,Opus Ave,703658199,50400
70618,Marcus Lathan,508881,2661,Hein Blvd,386143936,50400
73097,Tamatha Martinson,861726,3325,La Serena St,478501548,50400
76132,Paris Ringley,376954,894,Style Blvd,310738538,50400
86577,Valda Behlke,812161,3558,Marsala Blvd,186109688,50400
98445,Mario Mucha,655075,2415,Melina Ave,238786405,50400
99131,Ping Preuett,275107,783,Trofin Rd,987646018,50400
13468,Keith Candozo,753817,2186,Canada Valley Ave,958215353,50500
23087,Lavada Foxx,501194,1042,South Donovan Blvd,225255798,50500
23566,Julianna Hindle,427386,1455,White Cedar Blvd,662935127,50500
42265,Zenaida Patraw,547130,627,Kinnaird Rd,937486213,50500
43246,Latonya Dion,220274,3654,Tuskeegee Way,839513218,50500
43782,Eliseo Berentson,349948,717,Thorncliffe St,320161252,50500
50806,Olene Cartrette,426260,3837,Three Oak Circle,300968333,50500
